window_size,unique_id,phase_id,grp,sdcor,tr_model
100,O-2,3,Bullet-Operator,0.06072021060759086,FALSE
100,O-2,3,Operator-Machine,1.9829843748457583e-5,FALSE
100,O-2,3,Operator,0.09746767254768801,FALSE
100,O-2,3,Bullet-Machine,0,FALSE
100,O-2,3,Bullet,0.4795288387440973,FALSE
100,O-2,3,Machine,0.0819141159710045,FALSE
100,O-2,3,Residual,0.5248745611876617,FALSE
100,O-2,4,Operator-Bullet-Machine,3.624450129631563e-5,FALSE
100,O-2,4,Bullet-Operator,0.08058826786786973,FALSE
100,O-2,4,Operator-Machine,0,FALSE
100,O-2,4,Operator,0.08979615032240144,FALSE
100,O-2,4,Bullet-Machine,5.757235174455427e-5,FALSE
100,O-2,4,Bullet,0.4213607386228853,FALSE
100,O-2,4,Machine,0.08170191264653394,FALSE
100,O-2,4,Residual,0.5244747756229208,FALSE
100,O-2,5,Operator-Bullet-Machine,0.03613800876554761,FALSE
100,O-2,5,Bullet-Operator,0.08294781373268427,FALSE
100,O-2,5,Operator-Machine,0,FALSE
100,O-2,5,Operator,0.07846022475401503,FALSE
100,O-2,5,Bullet-Machine,2.640115346831998e-4,FALSE
100,O-2,5,Bullet,0.3662743602398965,FALSE
100,O-2,5,Machine,0.08464090853709193,FALSE
100,O-2,5,Residual,0.535466214354649,FALSE
100,O-2,6,Operator-Bullet-Machine,0.06262675304067883,FALSE
100,O-2,6,Bullet-Operator,0.06423146523436318,FALSE
100,O-2,6,Operator-Machine,0,FALSE
100,O-2,6,Operator,0.07625504715648086,FALSE
100,O-2,6,Bullet-Machine,0,FALSE
100,O-2,6,Bullet,0.3189272233784456,FALSE
100,O-2,6,Machine,0.08661659038151956,FALSE
100,O-2,6,Residual,0.5602010287972315,FALSE
100,O-2,7,Operator-Bullet-Machine,0.062212380778175494,FALSE
100,O-2,7,Bullet-Operator,0.04086434426138174,FALSE
100,O-2,7,Operator-Machine,7.135499890216314e-5,FALSE
100,O-2,7,Operator,0.07108194660801866,FALSE
100,O-2,7,Bullet-Machine,1.125361645802549e-5,FALSE
100,O-2,7,Bullet,0.33133294120096907,FALSE
100,O-2,7,Machine,0.0923857691430059,FALSE
100,O-2,7,Residual,0.594483882254732,FALSE
100,O-2,8,Operator-Bullet-Machine,0.08050584505479988,FALSE
100,O-2,8,Bullet-Operator,0,FALSE
100,O-2,8,Operator-Machine,8.25977484712007e-5,FALSE
100,O-2,8,Operator,0.05884741266473787,FALSE
100,O-2,8,Bullet-Machine,0,FALSE
100,O-2,8,Bullet,0.4096537357695554,FALSE
100,O-2,8,Machine,0.08205356458287033,FALSE
100,O-2,8,Residual,0.5764018081565805,FALSE
100,O-2,9,Operator-Bullet-Machine,0.0930950783455932,FALSE
100,O-2,9,Bullet-Operator,3.84796754223968e-5,FALSE
100,O-2,9,Operator-Machine,0.04064733706638815,FALSE
100,O-2,9,Operator,0.04782984953299848,FALSE
100,O-2,9,Bullet-Machine,0,FALSE
100,O-2,9,Bullet,0.49616028764740666,FALSE
100,O-2,9,Machine,0.08099012765812906,FALSE
100,O-2,9,Residual,0.5654862939316562,FALSE
100,O-2,10,Operator-Bullet-Machine,0.09283800407174948,FALSE
100,O-2,10,Bullet-Operator,7.05945656990227e-5,FALSE
100,O-2,10,Operator-Machine,0.061283260142702606,FALSE
100,O-2,10,Operator,0.07472274071373097,FALSE
100,O-2,10,Bullet-Machine,0,FALSE
100,O-2,10,Bullet,0.5462351081325323,FALSE
100,O-2,10,Machine,0.08867581308966727,FALSE
100,O-2,10,Residual,0.552020665360355,FALSE
100,O-3,3,Operator-Bullet-Machine,5.2241367685123305e-5,FALSE
100,O-3,3,Bullet-Operator,0.1120603226115704,FALSE
100,O-3,3,Operator-Machine,0,FALSE
100,O-3,3,Operator,0,FALSE
100,O-3,3,Bullet-Machine,0.09200951967892515,FALSE
100,O-3,3,Bullet,0.5191593220552287,FALSE
100,O-3,3,Machine,0.0861838716494539,FALSE
100,O-3,3,Residual,0.46036416093640853,FALSE
100,O-3,4,Operator-Bullet-Machine,8.704020595463343e-6,FALSE
100,O-3,4,Bullet-Operator,0.13648729052627043,FALSE
100,O-3,4,Operator-Machine,2.413909134174105e-5,FALSE
100,O-3,4,Operator,0,FALSE
100,O-3,4,Bullet-Machine,0.07508128623675289,FALSE
100,O-3,4,Bullet,0.4570603419425476,FALSE
100,O-3,4,Machine,0.09684539952175544,FALSE
100,O-3,4,Residual,0.44102982696333437,FALSE
100,O-3,5,Operator-Bullet-Machine,0.04498338748465433,FALSE
100,O-3,5,Bullet-Operator,0.11722262724625926,FALSE
100,O-3,5,Operator-Machine,0.023522818820825565,FALSE
100,O-3,5,Operator,0,FALSE
100,O-3,5,Bullet-Machine,0.030628826136870645,FALSE
100,O-3,5,Bullet,0.4363914664240334,FALSE
100,O-3,5,Machine,0.0943516552747972,FALSE
100,O-3,5,Residual,0.42670527639152106,FALSE
100,O-3,6,Operator-Bullet-Machine,1.635425263208028e-5,FALSE
100,O-3,6,Bullet-Operator,0.12371228353210062,FALSE
100,O-3,6,Operator-Machine,0.03696897988327152,FALSE
100,O-3,6,Operator,9.693456718739593e-6,FALSE
100,O-3,6,Bullet-Machine,0.03690960365012057,FALSE
100,O-3,6,Bullet,0.4925932849270443,FALSE
100,O-3,6,Machine,0.0791078429314251,FALSE
100,O-3,6,Residual,0.3976915593312852,FALSE
100,O-3,7,Operator-Bullet-Machine,0.02590311825591754,FALSE
100,O-3,7,Bullet-Operator,0.14607364388178892,FALSE
100,O-3,7,Operator-Machine,0.03765248984372998,FALSE
100,O-3,7,Operator,5.730198617648648e-6,FALSE
100,O-3,7,Bullet-Machine,0.030495620337502517,FALSE
100,O-3,7,Bullet,0.5650335057119515,FALSE
100,O-3,7,Machine,0.07253891192008656,FALSE
100,O-3,7,Residual,0.40593498870354844,FALSE
100,O-3,8,Operator-Bullet-Machine,0.05026470627505399,FALSE
100,O-3,8,Bullet-Operator,0.155078303340346,FALSE
100,O-3,8,Operator-Machine,0.031441249446488184,FALSE
100,O-3,8,Operator,9.313887428077623e-6,FALSE
100,O-3,8,Bullet-Machine,0.03110980946789035,FALSE
100,O-3,8,Bullet,0.6101181025560517,FALSE
100,O-3,8,Machine,0.07833440037673096,FALSE
100,O-3,8,Residual,0.4042924611480344,FALSE
100,O-3,9,Operator-Bullet-Machine,0.043406042395121386,FALSE
100,O-3,9,Bullet-Operator,0.14267584798314742,FALSE
100,O-3,9,Operator-Machine,0.03745910551962952,FALSE
100,O-3,9,Operator,0,FALSE
100,O-3,9,Bullet-Machine,0.02639740570253284,FALSE
100,O-3,9,Bullet,0.62420311563546,FALSE
100,O-3,9,Machine,0.08140830753727253,FALSE
100,O-3,9,Residual,0.39394209448648937,FALSE
100,O-3,10,Operator-Bullet-Machine,0.04539352888826963,FALSE
100,O-3,10,Bullet-Operator,0.12319070150876167,FALSE
100,O-3,10,Operator-Machine,0.044416567803870696,FALSE
100,O-3,10,Operator,0.020159791179711138,FALSE
100,O-3,10,Bullet-Machine,0.027990671256770506,FALSE
100,O-3,10,Bullet,0.6239934136253045,FALSE
100,O-3,10,Machine,0.07947761083731651,FALSE
100,O-3,10,Residual,0.3977942360009961,FALSE
100,O-3,1,Operator-Bullet-Machine,0.01769183431336111,FALSE
100,O-3,1,Bullet-Operator,0.1366889268643247,FALSE
100,O-3,1,Operator-Machine,0.033390594213559194,FALSE
100,O-3,1,Operator,0.011355707530378454,FALSE
100,O-3,1,Bullet-Machine,0.03567374762094658,FALSE
100,O-3,1,Bullet,0.6136030838072012,FALSE
100,O-3,1,Machine,0.07729295758704474,FALSE
100,O-3,1,Residual,0.4289918039940347,FALSE
100,O-3,2,Operator-Bullet-Machine,0,FALSE
100,O-3,2,Bullet-Operator,0.11870812747787866,FALSE
100,O-3,2,Operator-Machine,0,FALSE
100,O-3,2,Operator,0,FALSE
100,O-3,2,Bullet-Machine,0.05619634624872952,FALSE
100,O-3,2,Bullet,0.5809753940736492,FALSE
100,O-3,2,Machine,0.07669548960756584,FALSE
100,O-3,2,Residual,0.4475188582325184,FALSE
100,O-4,9,Operator-Bullet-Machine,0.1815776856886891,FALSE
100,O-4,9,Bullet-Operator,0.20201591176455208,FALSE
100,O-4,9,Operator-Machine,9.764520043930199e-6,FALSE
100,O-4,9,Operator,1.8102295866738082e-5,FALSE
100,O-4,9,Bullet-Machine,0.08923433931912975,FALSE
100,O-4,9,Bullet,0.8780171014124786,FALSE
100,O-4,9,Machine,0,FALSE
100,O-4,9,Residual,0.5718526426142482,FALSE
100,O-4,10,Operator-Bullet-Machine,0.1822881518140084,FALSE
100,O-4,10,Bullet-Operator,0.18822352337575418,FALSE
100,O-4,10,Operator-Machine,3.2910995495658775e-5,FALSE
100,O-4,10,Operator,0,FALSE
100,O-4,10,Bullet-Machine,0.07328815783697627,FALSE
100,O-4,10,Bullet,0.7812308148494885,FALSE
100,O-4,10,Machine,0.029805495261000608,FALSE
100,O-4,10,Residual,0.5956742795824386,FALSE
100,O-4,1,Operator-Bullet-Machine,0.16330934444237,FALSE
100,O-4,1,Bullet-Operator,0.17602902929245343,FALSE
100,O-4,1,Operator-Machine,0,FALSE
100,O-4,1,Operator,0,FALSE
100,O-4,1,Bullet-Machine,1.3952435379346875e-5,FALSE
100,O-4,1,Bullet,0.7511776791359847,FALSE
100,O-4,1,Machine,0.0540737698783068,FALSE
100,O-4,1,Residual,0.5970389573344101,FALSE
100,O-4,2,Operator-Bullet-Machine,0.11220391871303208,FALSE
100,O-4,2,Bullet-Operator,0.16115439399928808,FALSE
100,O-4,2,Operator-Machine,0.07628330077265907,FALSE
100,O-4,2,Operator,0.035854895839885034,FALSE
100,O-4,2,Bullet-Machine,0,FALSE
100,O-4,2,Bullet,0.7705162214487187,FALSE
100,O-4,2,Machine,0.04619465691248896,FALSE
100,O-4,2,Residual,0.6001890760583685,FALSE
100,O-4,3,Operator-Bullet-Machine,0.07839119007380374,FALSE
100,O-4,3,Bullet-Operator,0.1614546289175901,FALSE
100,O-4,3,Operator-Machine,0.09779787939653035,FALSE
100,O-4,3,Operator,0,FALSE
100,O-4,3,Bullet-Machine,0,FALSE
100,O-4,3,Bullet,0.7424806702068528,FALSE
100,O-4,3,Machine,0.051350807521307155,FALSE
100,O-4,3,Residual,0.6058699972314106,FALSE
100,O-4,4,Operator-Bullet-Machine,0.11348878968082755,FALSE
100,O-4,4,Bullet-Operator,0.16688709137162439,FALSE
100,O-4,4,Operator-Machine,0.059322537934787,FALSE
100,O-4,4,Operator,6.499214454998091e-6,FALSE
100,O-4,4,Bullet-Machine,0,FALSE
100,O-4,4,Bullet,0.6599057415468188,FALSE
100,O-4,4,Machine,0.059943426105596595,FALSE
100,O-4,4,Residual,0.6004177861760656,FALSE
100,O-4,5,Operator-Bullet-Machine,0.12953940915418954,FALSE
100,O-4,5,Bullet-Operator,0.16939509841625416,FALSE
100,O-4,5,Operator-Machine,1.631519194427248e-4,FALSE
100,O-4,5,Operator,9.65710375848441e-5,FALSE
100,O-4,5,Bullet-Machine,0.006456078690393097,FALSE
100,O-4,5,Bullet,0.6495913379685612,FALSE
100,O-4,5,Machine,0.04553712232108949,FALSE
100,O-4,5,Residual,0.5890012786004233,FALSE
100,O-4,6,Operator-Bullet-Machine,0.12064769733358618,FALSE
100,O-4,6,Bullet-Operator,0.16476132321674838,FALSE
100,O-4,6,Operator-Machine,0,FALSE
100,O-4,6,Operator,0,FALSE
